datetime,temp
2011-02-25,-3.6
2011-02-26,-0.9
2011-02-27,-1.4
2011-02-28,-1.6
2011-03-01,0.5
2011-03-02,0.0
2011-03-03,0.9
2011-03-04,2.2
2011-03-05,1.3
2011-03-06,1.6
2011-03-07,-0.3
2011-03-08,-1.5
2011-03-09,-0.4
2011-03-10,1.3
2011-03-11,6.6
2011-03-12,7.9
2011-03-13,10.2
2011-03-14,12.3
2011-03-15,12.1
2011-03-16,12.7
2011-03-17,11.8
2011-03-18,7.4
2011-03-19,4.1
2011-03-20,4.9
2011-03-21,5.6
2011-03-22,6.3
2011-03-23,9.1
2011-03-24,10.3
2011-03-25,11.7
2011-03-26,11.3
2011-03-27,6.3
2011-03-28,7.5
2011-03-29,8.3
2011-03-30,9.7
2011-03-31,11.2
2011-04-01,11.4
2011-04-02,12.9
2011-04-03,13.3
2011-04-04,12.8
2011-04-05,11.8
2011-04-06,12.8
2011-04-07,18.3
2011-04-08,14.4
2011-04-09,13.6
2011-04-10,10.8
2011-04-11,10.8
2011-04-12,13.4
2011-04-13,8.5
2011-04-14,7.2
2011-04-15,9.2
2011-04-16,10.5
2011-04-17,10.6
2011-04-18,12.3
2011-04-19,14.5
2011-04-20,14.9
2011-04-21,15.0
2011-04-22,16.6
2011-04-23,16.3
2011-04-24,12.7
2011-04-25,13.1
2011-04-26,15.4
2011-04-27,14.8
2011-04-28,14.9
2011-04-29,15.8
2011-04-30,15.6
2011-05-01,12.7
2011-05-02,14.0
2011-05-03,12.4
2011-05-04,8.4
2011-05-05,9.8
2011-05-06,9.8
2011-05-07,12.0
2011-05-08,9.8
2011-05-09,14.9
2011-05-10,17.8
2011-05-11,19.1
2011-05-12,18.3
2011-05-13,17.7
2011-05-14,16.7
2011-05-15,13.9
2011-05-16,11.9
2011-05-17,15.3
2011-05-18,17.5
2011-05-19,19.6
2011-05-20,21.0
2011-05-21,21.1
2011-05-22,21.0
2011-05-23,20.2
2011-05-24,21.6
2011-05-25,20.5
2011-05-26,18.6
2011-05-27,21.6
2011-05-28,15.8
2011-05-29,17.2
2011-05-30,19.8
2011-05-31,21.2
2011-06-01,20.9
2011-06-02,21.1
2011-06-03,23.1
2011-06-04,23.1
2011-06-05,22.3
2011-06-06,21.1
2011-06-07,21.8
2011-06-08,21.7
2011-06-09,18.4
2011-06-10,17.7
2011-06-11,18.2
2011-06-12,19.6
2011-06-13,20.3
2011-06-14,19.3
2011-06-15,20.2
2011-06-16,22.1
2011-06-17,22.6
2011-06-18,23.5
2011-06-19,16.2
2011-06-20,17.0
2011-06-21,21.4
2011-06-22,24.8
2011-06-23,24.8
2011-06-24,19.3
2011-06-25,17.7
2011-06-26,16.8
2011-06-27,19.2
2011-06-28,19.4
2011-06-29,20.9
2011-06-30,18.6
2011-07-01,15.3
2011-07-02,15.0
2011-07-03,13.9
2011-07-04,17.8
2011-07-05,20.4
2011-07-06,20.3
2011-07-07,23.7
2011-07-08,26.1
2011-07-09,27.3
2011-07-10,29.1
2011-07-11,26.2
2011-07-12,24.6
2011-07-13,25.3
2011-07-14,28.1
2011-07-15,23.4
2011-07-16,22.2
2011-07-17,24.0
2011-07-18,23.5
2011-07-19,24.5
2011-07-20,19.8
2011-07-21,15.9
2011-07-22,17.1
2011-07-23,16.6
2011-07-24,17.8
2011-07-25,15.8
2011-07-26,16.6
2011-07-27,19.0
2011-07-28,17.6
2011-07-29,19.3
2011-07-30,19.0
2011-07-31,16.1
2011-08-01,18.0
2011-08-02,21.2
2011-08-03,21.6
2011-08-04,18.9
2011-08-05,21.5
2011-08-06,22.0
2011-08-07,24.0
2011-08-08,21.2
2011-08-09,19.6
2011-08-10,17.3
2011-08-11,16.9
2011-08-12,19.3
2011-08-13,20.9
2011-08-14,21.9
2011-08-15,24.3
2011-08-16,22.5
2011-08-17,22.3
2011-08-18,23.2
2011-08-19,25.6
2011-08-20,23.2
2011-08-21,21.9
2011-08-22,24.3
2011-08-23,27.1
2011-08-24,27.7
2011-08-25,28.5
2011-08-26,28.3
2011-08-27,26.0
2011-08-28,20.1
2011-08-29,21.4
2011-08-30,22.7
2011-08-31,20.6
2011-09-01,21.9
2011-09-02,22.1
2011-09-03,22.2
2011-09-04,23.5
2011-09-05,24.5
2011-09-06,20.9
2011-09-07,18.9
2011-09-08,17.8
2011-09-09,17.9
2011-09-10,19.5
2011-09-11,23.1
2011-09-12,22.5
2011-09-13,22.6
2011-09-14,22.1
2011-09-15,19.2
2011-09-16,16.2
2011-09-17,18.6
2011-09-18,21.5
2011-09-19,20.8
2011-09-20,15.5
2011-09-21,18.6
2011-09-22,18.1
2011-09-23,17.5
2011-09-24,15.8
2011-09-25,15.8
2011-09-26,16.8
2011-09-27,17.5
2011-09-28,18.6
2011-09-29,16.9
2011-09-30,18.5
2011-10-01,18.3
2011-10-02,17.7
2011-10-03,16.0
2011-10-04,16.3
2011-10-05,17.6
2011-10-06,16.9
2011-10-07,11.7
2011-10-08,9.7
2011-10-09,8.6
2011-10-10,8.5
2011-10-11,13.4
2011-10-12,14.6
2011-10-13,11.5
2011-10-14,7.4
2011-10-15,6.4
2011-10-16,5.9
2011-10-17,4.6
2011-10-18,4.7
2011-10-19,8.7
2011-10-20,10.1
2011-10-21,7.7
2011-10-22,6.1
2011-10-23,8.2
2011-10-24,9.5
2011-10-25,9.9
2011-10-26,11.3
2011-10-27,10.9
2011-10-28,8.6
2011-10-29,9.1
2011-10-30,8.3
2011-10-31,8.4
2011-11-01,7.4
2011-11-02,7.2
2011-11-03,5.3
2011-11-04,7.7
2011-11-05,11.4
2011-11-06,9.8
2011-11-07,9.6
2011-11-08,8.4
2011-11-09,7.8
2011-11-10,4.7
2011-11-11,2.4
2011-11-12,1.2
2011-11-13,0.8
2011-11-14,0.7
2011-11-15,0.6
2011-11-16,-0.7
2011-11-17,0.0
2011-11-18,-0.8
2011-11-19,1.8
2011-11-20,1.2
2011-11-21,0.0
2011-11-22,-1.4
2011-11-23,-1.4
2011-11-24,-2.6
2011-11-25,-1.4
2011-11-26,0.6
2011-11-27,0.9
2011-11-28,3.7
2011-11-29,-0.1
2011-11-30,0.4
2011-12-01,0.0
2011-12-02,-2.3
2011-12-03,-0.4
2011-12-04,4.5
2011-12-05,8.3
2011-12-06,2.5
2011-12-07,2.3
2011-12-08,5.6
2011-12-09,3.1
2011-12-10,5.2
2011-12-11,4.3
2011-12-12,4.0
2011-12-13,5.2
2011-12-14,4.8
2011-12-15,5.8
2011-12-16,5.6
2011-12-17,5.1
2011-12-18,2.5
2011-12-19,0.4
2011-12-20,-0.1
2011-12-21,-2.9
2011-12-22,-0.1
2011-12-23,-2.0
2011-12-24,-0.5
2011-12-25,2.7
2011-12-26,-0.3
2011-12-27,3.2
2011-12-28,3.4
2011-12-29,2.4
2011-12-30,0.6
2011-12-31,1.8
2012-01-01,-1.4
2012-01-02,3.1
2012-01-03,4.2
2012-01-04,3.5
2012-01-05,3.6
2012-01-06,4.6
2012-01-07,2.8
2012-01-08,3.2
2012-01-09,2.9
2012-01-10,1.2
2012-01-11,4.0
2012-01-12,6.0
2012-01-13,3.9
2012-01-14,2.2
2012-01-15,-0.3
2012-01-16,-2.4
2012-01-17,-1.2
2012-01-18,-1.0
2012-01-19,0.5
2012-01-20,3.7
2012-01-21,2.0
2012-01-22,4.8
2012-01-23,5.6
2012-01-24,3.0
2012-01-25,1.0
2012-01-26,-1.3
2012-01-27,-2.1
2012-01-28,-3.2
2012-01-29,-2.4
2012-01-30,-3.3
2012-01-31,-5.3
2012-02-01,-6.1
2012-02-02,-9.5
2012-02-03,-9.9
2012-02-04,-7.7
2012-02-05,-11.5
2012-02-06,-12.8
2012-02-07,-6.9
2012-02-08,-11.0
2012-02-09,-10.8
2012-02-10,-11.4
2012-02-11,-10.0
2012-02-12,-7.2
2012-02-13,-5.5
2012-02-14,-6.6
2012-02-15,-2.4
2012-02-16,0.2
2012-02-17,-0.5
2012-02-18,3.5
2012-02-19,0.6
2012-02-20,2.6
2012-02-21,-0.1
2012-02-22,0.8
2012-02-23,1.3
2012-02-24,8.7
2012-02-25,8.9
2012-02-26,5.5
2012-02-27,1.0
2012-02-28,-0.6
2012-02-29,9.1
2012-03-01,6.7
2012-03-02,9.8
2012-03-03,5.4
2012-03-04,2.7
2012-03-05,1.6
2012-03-06,-0.4
2012-03-07,-1.3
2012-03-08,0.0
2012-03-09,2.4
2012-03-10,3.7
2012-03-11,5.3
2012-03-12,6.7
2012-03-13,7.4
2012-03-14,8.2
2012-03-15,8.0
2012-03-16,7.5
2012-03-17,11.7
2012-03-18,13.0
2012-03-19,12.4
2012-03-20,9.7
2012-03-21,10.4
2012-03-22,11.7
2012-03-23,13.0
2012-03-24,13.4
2012-03-25,13.7
2012-03-26,11.8
2012-03-27,9.4
2012-03-28,14.0
2012-03-29,13.5
2012-03-30,9.5
2012-03-31,10.9
2012-04-01,5.2
2012-04-02,7.6
2012-04-03,11.8
2012-04-04,15.3
2012-04-05,16.2
2012-04-06,13.7
2012-04-07,10.0
2012-04-08,5.7
2012-04-09,3.7
2012-04-10,5.0
2012-04-11,10.9
2012-04-12,9.9
2012-04-13,10.7
2012-04-14,11.3
2012-04-15,13.0
2012-04-16,9.9
2012-04-17,8.9
2012-04-18,9.9
2012-04-19,11.3
2012-04-20,12.8
2012-04-21,12.4
2012-04-22,11.8
2012-04-23,12.1
2012-04-24,14.1
2012-04-25,13.3
2012-04-26,14.8
2012-04-27,18.1
2012-04-28,21.4
2012-04-29,21.4
2012-04-30,21.9
2012-05-01,22.9
2012-05-02,22.8
2012-05-03,21.4
2012-05-04,17.9
2012-05-05,17.8
2012-05-06,18.2
2012-05-07,14.8
2012-05-08,15.4
2012-05-09,15.9
2012-05-10,18.8
2012-05-11,20.7
2012-05-12,20.2
2012-05-13,12.0
2012-05-14,10.9
2012-05-15,12.7
2012-05-16,13.9
2012-05-17,12.7
2012-05-18,12.5
2012-05-19,15.1
2012-05-20,19.2
2012-05-21,21.5
2012-05-22,18.8
2012-05-23,20.2
2012-05-24,21.4
2012-05-25,18.9
2012-05-26,17.1
2012-05-27,17.3
2012-05-28,14.4
2012-05-29,15.5
2012-05-30,19.0
2012-05-31,20.1
2012-06-01,16.8
2012-06-02,14.6
2012-06-03,21.1
2012-06-04,22.3
2012-06-05,16.0
2012-06-06,16.4
2012-06-07,20.8
2012-06-08,23.0
2012-06-09,22.8
2012-06-10,20.0
2012-06-11,18.5
2012-06-12,17.5
2012-06-13,16.2
2012-06-14,17.7
2012-06-15,19.5
2012-06-16,22.8
2012-06-17,25.0
2012-06-18,26.6
2012-06-19,26.7
2012-06-20,27.9
2012-06-21,27.5
2012-06-22,24.2
2012-06-23,23.8
2012-06-24,23.6
2012-06-25,19.1
2012-06-26,18.9
2012-06-27,18.9
2012-06-28,20.9
2012-06-29,24.0
2012-06-30,27.9
2012-07-01,29.6
2012-07-02,29.6
2012-07-03,29.3
2012-07-04,28.6
2012-07-05,29.0
2012-07-06,28.9
2012-07-07,27.2
2012-07-08,28.6
2012-07-09,27.0
2012-07-10,25.2
2012-07-11,26.0
2012-07-12,21.6
2012-07-13,20.4
2012-07-14,20.8
2012-07-15,18.5
